53,53,53,53,53,53,53,53
11,11,11,11,11,11,11,11
61,61,61,61,61,61,61,61
26,26,26,26,26,26,26,23
30,30,30,30,30,30,30,33
44,44,44,44,44,44,44,40
29,29,27,29,27,29,29,30
36,36,30,36,30,36,30,30
85,81,84,85,85,81,85,84
74,74,74,74,74,74,74,74
36,36,36,36,36,36,36,36
87,87,87,87,87,87,87,87
31,31,32,31,34,31,34,32
36,29,32,29,32,29,36,32
18,18,18,18,18,18,18,18
15,15,16,15,16,15,15,16
62,62,62,62,62,62,62,62
45,45,41,45,41,45,45,41
32,30,34,30,34,30,30,34
37,35,36,35,36,34,36,36
47,51,42,51,49,51,49,42
14,14,14,14,14,14,14,14
10,10,14,10,10,10,10,14
10,10,9,10,10,10,10,9
19,19,19,19,19,19,19,19
78,76,78,78,78,76,78,78
19,21,22,17,19,21,19,22
19,19,19,19,19,19,19,19
58,58,57,58,57,58,58,53
45,45,44,45,45,45,45,44
31,31,31,31,31,31,31,31
74,76,67,76,67,76,74,67
44,44,44,44,44,44,44,44
23,23,23,23,23,23,23,23
23,23,23,23,23,23,23,23
75,75,76,75,75,74,75,76
51,51,51,51,51,51,51,51
58,58,58,58,58,58,58,58
44,44,44,44,44,44,44,44
29,29,29,29,29,29,29,29
63,63,64,63,63,63,63,62
52,52,52,52,52,52,52,52
35,35,37,35,37,35,35,37
8,8,10,8,10,4,10,10
44,44,44,44,44,43,44,44
29,29,29,29,29,29,29,29
-2,-2,2,-2,-2,4,-2,2
8,8,8,8,8,8,8,8
38,33,35,38,35,33,39,35
45,49,45,45,45,49,45,45
3,13,3,13,3,13,3,3
53,54,53,53,53,54,53,56
29,26,29,27,29,26,29,29
52,53,52,53,52,53,52,57
44,44,41,44,41,43,41,41
34,46,34,46,34,46,34,34
59,59,59,59,59,59,59,59
48,48,48,48,48,48,48,48
55,55,55,55,55,55,55,55
59,59,59,59,59,59,59,59
46,46,46,46,46,46,46,46
55,55,55,55,55,60,55,67
74,74,72,74,74,74,74,72
28,28,22,28,29,28,28,22
23,20,23,20,23,20,23,23
28,29,28,29,28,29,28,28
46,46,46,46,46,46,46,40
52,53,52,52,52,53,52,52
72,72,72,72,72,72,72,72
44,48,44,44,44,47,44,44
22,22,22,22,22,22,22,22
48,47,48,48,48,47,48,48
70,70,70,70,70,70,70,70
40,41,40,41,40,41,40,40
38,38,39,38,38,38,38,39
46,46,49,46,44,46,46,49
40,40,32,40,40,40,40,32
58,58,55,58,58,57,58,55
50,50,50,50,50,50,50,43
46,46,43,46,43,45,46,43
53,53,53,53,53,53,53,53
31,31,27,31,27,31,27,27
29,30,29,29,29,30,29,29
74,74,74,74,74,74,74,69
50,48,50,48,50,48,50,49
34,34,23,34,35,34,34,23
44,44,42,44,42,44,42,43
41,41,41,41,41,41,41,41
90,90,90,90,90,90,90,90
9,9,8,9,8,9,9,8
44,44,41,44,41,46,44,41
47,47,47,47,47,47,47,47
18,18,20,18,19,18,18,20
55,55,55,55,57,55,57,55
56,56,56,56,56,52,56,56
17,17,18,17,20,22,20,18
37,38,37,37,37,38,37,35
43,43,43,43,43,41,43,43
25,25,34,25,25,31,25,34
72,72,73,72,73,72,73,73
43,40,43,40,43,40,43,43
50,46,49,50,49,48,49,49
43,50,43,43,43,50,43,43
51,51,54,51,54,51,51,54
45,45,45,45,45,45,45,45
33,33,26,33,26,33,26,26
49,49,49,49,49,49,49,49
50,50,50,50,50,54,50,50
45,45,45,45,45,45,45,45
94,91,92,94,92,91,94,92
51,51,52,51,52,52,52,52
79,79,79,79,79,79,79,79
70,70,73,70,73,70,70,73
63,63,63,63,63,63,63,63
68,68,68,68,68,68,68,68
86,86,85,86,85,86,86,85
82,82,82,82,82,82,82,82
63,63,67,63,63,63,63,67
41,41,43,41,43,41,43,43
4,4,6,4,6,4,4,9
38,38,38,38,38,38,38,28
98,98,95,98,94,97,94,95
37,37,39,37,37,37,37,39
47,47,47,47,47,47,47,47
25,25,25,25,25,25,25,25
54,50,54,50,54,50,54,54
48,48,48,48,48,48,48,48
69,69,72,69,72,69,69,72
30,30,33,30,33,30,30,33
43,43,43,43,43,43,43,43
10,10,10,10,10,10,10,10
49,48,49,49,49,48,49,49
31,32,31,32,31,32,31,31
37,37,37,37,37,37,37,37
43,43,40,43,43,35,43,40
54,57,54,58,54,57,54,54
40,37,40,39,40,37,40,40
59,59,62,59,62,59,60,62
33,28,33,28,33,28,33,33
65,65,65,65,65,65,65,67
39,41,39,39,39,37,39,39
51,51,46,51,46,42,51,46
57,52,56,57,56,52,56,56
50,55,50,55,50,55,50,50
41,41,38,41,38,41,38,38
74,74,73,74,73,74,74,73
50,48,51,48,51,48,51,51
91,91,94,91,94,91,91,94
47,50,50,50,50,50,50,50
52,52,56,52,52,58,52,56
91,91,91,91,91,91,91,91
86,86,88,86,88,86,86,82
28,28,28,28,28,28,28,28
23,23,29,23,29,23,29,28
19,19,19,19,19,19,19,21
26,26,26,26,26,26,26,31
94,94,94,94,94,94,94,94
82,85,85,85,82,85,82,85
87,87,89,87,89,84,87,90
58,58,62,58,58,58,58,62
58,52,58,56,58,52,58,58
89,89,92,89,89,89,89,92
80,80,76,80,82,80,80,76
3,3,3,3,3,8,3,10
71,75,67,71,67,75,67,67
51,51,51,51,51,51,51,51
41,41,41,41,41,41,41,41
41,41,41,41,41,41,41,41
3,3,0,3,0,3,0,-2
60,57,60,57,60,55,60,60
-1,-1,5,-1,5,-1,5,5
89,89,89,89,89,89,89,89
48,48,48,48,48,48,48,48
1,1,1,1,1,1,1,1
35,35,35,35,35,35,35,35
46,46,49,46,49,46,49,49
30,30,32,30,32,30,30,32
15,15,15,15,15,11,15,15
33,30,33,33,33,30,33,33
28,28,19,28,28,28,28,31
23,23,23,23,23,23,23,23
18,18,27,18,27,18,18,27
40,40,44,40,44,40,40,44
56,56,61,56,59,56,56,61
52,57,61,52,52,57,52,59
38,33,38,38,38,33,38,38
20,20,20,20,20,20,20,20
40,40,40,40,40,36,40,40
57,57,56,57,56,57,56,56
46,46,46,46,46,46,46,46
33,33,28,33,28,33,28,28
47,47,47,47,47,47,47,47
71,71,73,71,73,71,73,73
42,38,43,42,42,38,42,43
52,54,52,54,52,54,52,52
58,60,58,58,58,60,58,58
44,45,44,44,44,45,44,44
21,21,21,21,21,13,21,21
14,14,14,14,14,9,14,14
31,31,31,31,31,31,31,31
28,28,33,28,33,28,28,33
60,60,60,60,60,60,60,60
12,12,12,12,12,12,12,12
35,37,35,35,35,37,35,35
46,46,53,46,49,46,46,53
57,57,57,57,57,57,57,57
11,11,11,11,11,11,11,11
59,59,59,59,59,59,59,59
48,40,48,36,48,40,48,48
33,33,33,33,33,33,33,33
75,75,75,75,75,75,75,75
53,53,53,53,53,53,53,53
42,40,39,37,39,40,37,39
34,34,34,34,34,34,34,34
47,47,47,47,47,47,47,47
55,55,55,55,55,55,55,55
11,11,11,11,11,9,11,11
11,12,13,12,11,12,11,11
8,8,8,8,8,8,8,8
15,15,14,15,15,15,15,14
52,52,52,52,52,52,52,52
9,9,10,9,10,8,9,7
22,23,21,23,22,23,22,21
56,56,56,56,56,56,56,56
-9,-9,-9,-9,-9,-9,-9,-9
5,5,5,5,5,5,5,5
37,37,30,37,30,33,38,30
15,10,15,15,15,10,15,15
55,55,50,55,55,55,55,50
16,16,11,16,11,16,11,11
38,38,38,38,38,38,38,38
82,82,82,82,82,82,82,82
12,12,24,12,24,24,23,24
17,17,23,17,26,17,17,24
11,11,14,11,14,11,11,14
3,3,3,3,3,3,3,3
8,7,8,8,8,7,8,8
34,34,34,34,34,34,34,30
30,30,31,30,31,30,31,31
23,27,23,27,23,27,23,23
64,62,64,64,64,62,64,64
45,45,45,45,45,43,45,45
32,32,34,32,32,32,32,31
32,32,32,32,32,32,32,32
41,41,36,41,36,41,36,36
30,30,30,30,30,30,30,32
45,45,45,45,45,45,45,45
6,6,6,6,6,6,6,6
45,49,53,49,53,49,45,53
88,84,88,84,88,86,88,88
48,44,50,44,50,44,50,50
15,13,8,15,8,13,8,8
58,58,58,58,58,58,58,58
21,21,21,21,21,21,21,21
32,32,32,32,32,32,32,32
51,52,51,51,51,52,51,51
71,71,71,71,71,71,71,71
81,81,81,81,81,81,81,80
60,60,60,60,60,60,60,60
69,69,65,69,69,69,69,65
42,42,42,42,42,42,42,42
36,36,36,36,36,36,36,36
38,40,38,40,38,40,38,38
49,49,49,49,49,49,49,49
55,55,51,55,55,55,55,51
4,4,4,4,4,4,4,4
11,9,11,9,11,9,11,11
39,39,39,39,39,39,39,39
2,2,0,2,0,2,2,0
24,24,22,24,22,24,22,22
22,19,18,19,18,19,22,18
27,27,27,27,27,27,27,27
-2,-1,-2,-2,-2,-4,-2,-2
53,53,53,53,53,54,53,53
41,41,41,41,41,41,41,41
46,46,46,46,46,46,46,46
33,33,33,33,33,33,33,33
23,23,23,23,23,23,23,23
50,49,50,50,50,49,50,50
18,18,18,18,18,18,18,18
23,23,23,23,23,23,23,23
14,14,16,14,16,14,14,16
29,30,27,30,27,27,29,27
9,9,3,9,3,8,9,3
44,46,44,44,44,46,44,43
45,41,41,45,45,41,45,41
9,9,12,9,9,13,9,12
80,80,81,80,71,80,71,81
79,79,79,79,79,79,79,79
10,10,4,10,4,10,4,4
33,34,19,33,19,34,23,33
63,63,65,63,67,58,67,65
38,38,38,38,38,34,38,38
27,27,27,27,27,27,27,27
1,1,9,1,1,11,1,9
7,13,12,13,12,11,12,11
20,20,18,20,18,13,18,23
8,8,8,8,8,8,8,8
18,18,15,18,15,18,18,15
9,9,9,8,9,9,9,9
17,17,20,17,20,17,17,20
11,11,11,11,11,13,11,7
89,89,85,89,85,89,89,85
19,15,19,19,19,15,19,21
58,56,60,58,60,56,58,60
92,92,92,92,93,95,93,92
1,1,1,1,1,1,1,1
15,15,9,15,15,15,15,9
13,13,13,13,13,13,13,13
36,36,36,36,36,36,36,36
36,36,35,36,36,33,36,35
11,14,11,14,11,8,11,11
33,33,32,33,32,33,33,32
2,2,7,2,7,2,7,7
81,81,81,81,81,81,81,78
16,17,16,17,16,18,16,16
22,17,22,17,22,17,22,22
22,22,22,22,22,22,22,22
67,73,67,67,67,73,67,67
-1,-7,-1,-1,-1,-7,-1,-1
5,8,9,8,9,5,5,9
16,16,16,17,16,16,16,16
1,7,1,7,1,7,1,1
18,18,18,18,18,18,18,18
67,63,67,67,67,64,67,67
52,52,60,52,52,52,52,60
56,54,56,54,56,54,56,56
19,19,22,19,19,19,19,22
8,8,8,8,8,8,8,8
22,18,23,18,22,20,22,23
76,78,76,78,76,78,76,76
74,74,74,74,74,74,74,78
68,68,68,68,68,68,68,68
41,43,39,41,41,43,41,39
70,70,67,69,64,69,64,66
62,59,62,59,62,59,62,62
67,67,67,67,67,67,67,64
50,50,50,50,50,50,50,50
50,59,50,59,50,61,50,50
69,69,69,69,69,69,69,69
20,20,17,20,19,20,20,17
30,30,30,30,30,30,30,30
79,79,79,79,79,77,79,79
88,88,84,88,88,84,88,84
32,32,29,32,29,32,29,29
57,60,57,60,57,60,57,59
15,15,15,15,15,15,15,14
50,50,50,50,50,50,50,50
49,49,49,49,49,49,49,49
60,60,62,60,60,60,60,62
73,71,76,71,78,71,77,76
54,57,61,54,63,53,63,61
67,67,65,67,67,67,67,65
71,71,71,71,71,71,71,71
56,56,56,56,56,56,56,56
57,58,64,61,57,58,57,64
63,63,64,63,63,63,63,64
69,69,66,69,66,69,69,66
73,73,73,73,73,73,73,73
61,61,54,61,63,61,63,58
74,74,69,74,74,74,74,69
30,30,30,30,30,30,30,30
35,35,35,35,35,35,35,35
27,27,26,27,26,27,25,26
62,62,62,62,62,61,62,62
68,68,60,68,68,68,68,68
66,66,60,66,66,66,66,60
63,63,69,63,63,64,63,69
48,48,48,48,48,48,48,63
21,21,21,19,21,21,21,21
62,62,62,62,62,64,62,62
67,67,67,67,67,67,67,67
37,37,37,37,37,40,37,37
79,79,79,79,79,79,79,79
63,63,60,63,60,63,60,61
8,8,5,8,8,8,8,7
27,25,29,25,27,25,27,29
39,39,39,39,39,39,39,39
43,43,43,43,43,36,43,39
36,36,36,36,36,37,36,36
12,12,12,12,12,10,12,12
31,35,38,35,38,35,31,38
-2,0,-2,0,-2,0,-2,0
26,24,21,29,21,24,21,21
30,30,30,30,30,30,30,30
78,78,80,78,80,78,80,80
63,60,63,63,63,66,63,63
19,15,24,15,24,15,19,24
53,52,53,52,53,52,53,53
74,74,69,74,69,74,74,69
66,66,66,66,66,66,66,66
45,55,45,55,45,55,45,45
54,54,52,54,54,54,54,55
35,35,41,35,41,35,41,41
54,54,54,54,54,54,54,54
70,70,65,70,71,70,71,65
34,33,36,34,34,25,34,36
69,68,69,68,69,68,69,69
0,-5,0,0,0,-5,0,0
24,24,24,24,24,24,24,24
20,20,24,20,24,20,20,24
40,40,41,40,41,40,40,41
22,17,22,17,22,17,22,22
53,53,51,53,51,53,53,51
14,14,15,14,14,13,14,8
57,58,57,57,57,54,57,57
55,55,55,55,55,55,55,55
27,27,27,27,27,27,27,27
17,15,17,15,17,15,17,17
69,69,69,69,69,69,69,69
4,1,3,4,3,1,3,3
31,31,31,31,31,33,31,31
22,19,21,22,21,19,21,24
18,18,19,18,18,19,18,19
33,33,33,33,33,33,33,33
79,79,77,79,77,79,77,77
71,71,76,71,76,71,71,76
46,46,46,46,46,46,46,46
49,51,29,51,49,51,49,29
28,28,28,28,28,28,28,28
45,45,44,45,45,45,45,44
14,14,9,14,11,14,11,8
-3,0,-3,-3,-3,0,-3,-3
22,22,20,22,20,22,20,20
67,67,67,67,67,67,67,67
40,40,40,40,40,40,40,40
63,65,63,65,63,65,63,63
38,44,45,38,38,44,38,45
7,7,6,7,6,7,7,6
3,3,3,3,3,3,3,3
54,48,51,48,51,48,51,51
29,29,29,29,29,29,29,29
58,58,58,58,58,58,58,58
63,63,63,63,63,58,63,63
68,68,69,68,68,68,68,69
9,9,9,9,9,8,9,8
21,21,21,21,21,21,21,21
13,2,17,13,17,2,17,17
49,52,53,52,53,52,53,53
-2,0,-1,-2,-2,0,-2,1
23,20,23,23,23,20,23,23
42,36,42,42,42,39,42,42
31,31,31,31,31,31,31,31
43,43,41,43,41,43,43,41
63,63,56,63,63,63,63,61
40,40,35,40,35,40,40,35
82,82,82,82,82,82,82,82
46,46,46,46,46,46,46,46
43,47,43,43,43,47,43,43
40,47,40,47,40,47,40,40
31,31,31,31,31,31,31,32
38,33,38,33,38,30,38,38
61,69,61,69,61,69,61,61
36,36,43,36,43,36,43,43
17,17,17,17,17,17,17,17
-7,-7,-7,-7,-7,-7,-7,-5
73,73,73,73,73,76,73,74
55,55,55,55,55,55,55,55
22,27,26,22,26,26,26,26
44,44,46,44,46,44,46,46
53,49,53,53,53,52,53,53
53,50,54,50,54,50,53,54
20,20,14,20,14,20,14,14
19,20,19,20,19,20,19,19
8,8,12,8,12,8,12,12
57,57,57,57,57,57,57,57
41,42,38,42,38,42,41,38
18,18,23,18,23,18,23,23
51,51,51,51,51,51,51,51
49,49,57,49,55,49,49,56
53,53,57,53,57,53,53,59
35,35,38,35,38,35,38,38
39,39,39,39,39,39,39,39
44,44,41,44,44,44,44,41
52,52,52,52,52,52,52,52
35,35,40,35,35,35,35,40
61,61,66,61,66,61,66,65
51,54,51,54,51,55,51,51
32,33,23,32,30,33,32,26
58,58,56,58,56,58,56,56
61,61,60,61,60,61,61,60
50,47,46,50,46,47,50,48
69,72,69,72,69,73,69,69
71,71,71,71,71,71,71,71
45,45,45,45,45,45,45,40
72,72,72,72,72,68,72,72
38,38,44,38,38,38,38,44
40,40,40,40,40,40,40,40
68,77,68,77,68,77,68,78
36,36,36,36,36,36,36,36
12,12,9,12,9,12,12,9
17,11,17,11,17,11,17,17
87,87,92,87,94,87,94,92
59,59,62,59,62,59,62,62
7,7,10,7,10,12,10,10
2,2,3,2,3,2,2,3
16,16,16,16,16,16,19,16
5,5,1,5,1,5,1,1
9,9,9,9,9,11,9,9
15,15,15,15,15,15,15,10
31,31,23,31,23,31,31,23
23,22,23,23,23,22,23,17
33,33,32,33,32,33,32,32
13,13,13,13,13,13,13,10
6,6,11,6,6,6,6,9
9,6,9,6,9,6,9,9
32,32,32,32,32,32,32,32
24,24,30,24,30,21,27,30
13,14,13,13,13,14,13,13
